key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,fentanylPercentageChange,methamphetaminePercentageChange,cocainePercentageChange,benzoPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,fentanylIsSignificant,methamphetamineIsSignificant,cocaineIsSignificant,benzoIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,fentanylSignificance,methamphetamineSignificance,cocaineSignificance,benzoSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange,jurisdiction_count,comparisonType
NV|2022|5|all|all:NV|2023|5|all|all,4.9,25.96,-46.71,-13.32,315.75,-26.83,43.39,29.18,false,true,true,false,true,true,false,false,No Significant Change,Significant Increase,Significant Decrease,No Significant Change,Significant Increase,Significant Decrease,No Significant Change,No Significant Change,NV,US-NV,2022,5,2023,5,all,all,1,8Year2YearSameMonthNV
NV|2022|6|all|all:NV|2023|6|all|all,19.2,49.29,-41.12,0.77,227.91,-7.67,16.11,44.14,true,true,false,false,true,false,false,false,Significant Increase,Significant Increase,No Significant Change,No Significant Change,Significant Increase,No Significant Change,No Significant Change,No Significant Change,NV,US-NV,2022,6,2023,6,all,all,1,8Year2YearSameMonthNV
NV|2022|7|all|all:NV|2023|7|all|all,14.14,20.83,-49.58,13.2,255.65,4.94,20.01,-22.45,true,true,true,false,true,false,false,false,Significant Increase,Significant Increase,Significant Decrease,No Significant Change,Significant Increase,No Significant Change,No Significant Change,No Significant Change,NV,US-NV,2022,7,2023,7,all,all,1,8Year2YearSameMonthNV
NV|2022|8|all|all:NV|2023|8|all|all,-9.27,-2.03,suppressed,-56.74,95.05,-64.32,suppressed,5.78,true,false,false,true,true,true,false,false,Significant Decrease,No Significant Change,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,Data Not Available/Not Reported,No Significant Change,NV,US-NV,2022,8,2023,8,all,all,1,8Year2YearSameMonthNV
NV|2022|9|all|all:NV|2023|9|all|all,-3.96,1.64,suppressed,-67.69,75.85,-76.27,suppressed,-17.19,false,false,false,true,true,true,false,false,No Significant Change,No Significant Change,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,Data Not Available/Not Reported,No Significant Change,NV,US-NV,2022,9,2023,9,all,all,1,8Year2YearSameMonthNV
NV|2022|10|all|all:NV|2023|10|all|all,1.66,27.47,suppressed,-47.87,103.67,-51.15,-29.84,-31.91,false,true,false,true,true,true,false,false,No Significant Change,Significant Increase,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,No Significant Change,No Significant Change,NV,US-NV,2022,10,2023,10,all,all,1,8Year2YearSameMonthNV
NV|2022|11|all|all:NV|2023|11|all|all,16.77,26.08,suppressed,-46.94,183.47,-60.66,suppressed,6.92,true,true,false,true,true,true,false,false,Significant Increase,Significant Increase,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,Data Not Available/Not Reported,No Significant Change,NV,US-NV,2022,11,2023,11,all,all,1,8Year2YearSameMonthNV
NV|2022|12|all|all:NV|2023|12|all|all,2.16,24.12,suppressed,-66.09,96.13,-68.0,suppressed,suppressed,false,true,false,true,true,true,false,false,No Significant Change,Significant Increase,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,Data Not Available/Not Reported,Data Not Available/Not Reported,NV,US-NV,2022,12,2023,12,all,all,1,8Year2YearSameMonthNV
NV|2023|1|all|all:NV|2024|1|all|all,-0.85,40.25,suppressed,-55.98,179.46,-64.5,-39.69,suppressed,false,true,false,true,true,true,false,false,No Significant Change,Significant Increase,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,No Significant Change,Data Not Available/Not Reported,NV,US-NV,2023,1,2024,1,all,all,1,8Year2YearSameMonthNV
NV|2023|2|all|all:NV|2024|2|all|all,-4.5,18.68,suppressed,-58.85,76.1,-66.83,suppressed,suppressed,false,true,false,true,true,true,false,false,No Significant Change,Significant Increase,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,Data Not Available/Not Reported,Data Not Available/Not Reported,NV,US-NV,2023,2,2024,2,all,all,1,8Year2YearSameMonthNV
