Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
NC,NORTH CAROLINA,11,2020,M112020,15-24,F,242,32,10,5,26549
NH,NEW HAMPSHIRE,11,2020,M112020,15-24,F,23,1,1,.,3607
NJ,NEW JERSEY,11,2020,M112020,15-24,F,124,11,2,2,17581
NM,NEW MEXICO,11,2020,M112020,15-24,F,45,6,.,2,6208
NV,NEVADA,11,2020,M112020,15-24,F,58,10,.,2,6646
NY,NEW YORK,11,2020,M112020,15-24,F,346,27,10,5,34459
OH,OHIO,11,2020,M112020,15-24,F,304,31,8,7,35889
OR,OREGON,11,2020,M112020,15-24,F,113,8,3,1,7261
PA,PENNSYLVANIA,11,2020,M112020,15-24,F,273,26,10,.,27280
RI,RHODE ISLAND,11,2020,M112020,15-24,F,20,6,.,.,2779
SC,SOUTH CAROLINA,11,2020,M112020,15-24,F,77,11,5,1,9378
SD,SOUTH DAKOTA,11,2020,M112020,15-24,F,25,1,.,.,1464
TN,TENNESSEE,11,2020,M112020,15-24,F,173,31,6,7,18437
UT,UTAH,11,2020,M112020,15-24,F,140,10,3,3,5650
VA,VIRGINIA,11,2020,M112020,15-24,F,194,8,3,2,18660
VT,VERMONT,11,2020,M112020,15-24,F,10,1,.,.,1119
WA,WASHINGTON,11,2020,M112020,15-24,F,204,33,5,6,13188
WI,WISCONSIN,11,2020,M112020,15-24,F,178,19,8,2,13928
WV,WEST VIRGINIA,11,2020,M112020,15-24,F,48,6,4,1,5352
AK,ALASKA,12,2020,M122020,15-24,F,24,3,2,.,1420
AL,ALABAMA,12,2020,M122020,15-24,F,99,17,11,5,13198
AR,ARKANSAS,12,2020,M122020,15-24,F,37,1,.,.,4779
AZ,ARIZONA,12,2020,M122020,15-24,F,163,37,7,8,12673
CO,COLORADO,12,2020,M122020,15-24,F,115,14,3,2,8141
CT,CONNECTICUT,12,2020,M122020,15-24,F,65,8,3,3,6722
DC,DISTRICT OF COLUMBIA,12,2020,M122020,15-24,F,31,3,1,.,1914
DE,DELAWARE,12,2020,M122020,15-24,F,33,6,2,.,2739
FL,FLORIDA,12,2020,M122020,15-24,F,599,72,21,28,55258
GA,GEORGIA,12,2020,M122020,15-24,F,161,16,6,5,24935
ID,IDAHO,12,2020,M122020,15-24,F,67,2,.,4,3269
IL,ILLINOIS,12,2020,M122020,15-24,F,273,23,10,5,23448
IN,INDIANA,12,2020,M122020,15-24,F,175,17,4,5,15109
KS,KANSAS,12,2020,M122020,15-24,F,98,8,.,2,5807
KY,KENTUCKY,12,2020,M122020,15-24,F,79,15,4,8,9581
LA,LOUISIANA,12,2020,M122020,15-24,F,70,13,9,2,15259
MA,MASSACHUSETTS,12,2020,M122020,15-24,F,98,19,4,3,12659
MD,MARYLAND,12,2020,M122020,15-24,F,115,14,6,.,9278
ME,MAINE,12,2020,M122020,15-24,F,20,2,1,.,2433
MI,MICHIGAN,12,2020,M122020,15-24,F,201,20,11,10,20874
MO,MISSOURI,12,2020,M122020,15-24,F,96,8,2,1,12987
MS,MISSISSIPPI,12,2020,M122020,15-24,F,38,3,3,1,7484
MT,MONTANA,12,2020,M122020,15-24,F,28,3,3,2,1823
NC,NORTH CAROLINA,12,2020,M122020,15-24,F,211,34,12,3,25042
NH,NEW HAMPSHIRE,12,2020,M122020,15-24,F,21,2,.,.,3619
NJ,NEW JERSEY,12,2020,M122020,15-24,F,111,9,5,2,15890
NM,NEW MEXICO,12,2020,M122020,15-24,F,48,6,2,.,4671
NV,NEVADA,12,2020,M122020,15-24,F,54,8,.,3,6412
NY,NEW YORK,12,2020,M122020,15-24,F,285,21,10,5,33950
OH,OHIO,12,2020,M122020,15-24,F,267,29,8,2,31727
OR,OREGON,12,2020,M122020,15-24,F,147,20,1,4,6890
PA,PENNSYLVANIA,12,2020,M122020,15-24,F,226,31,8,3,23310
RI,RHODE ISLAND,12,2020,M122020,15-24,F,24,1,.,2,2293
SC,SOUTH CAROLINA,12,2020,M122020,15-24,F,76,13,3,.,9111
SD,SOUTH DAKOTA,12,2020,M122020,15-24,F,20,1,.,.,1359
TN,TENNESSEE,12,2020,M122020,15-24,F,175,40,18,6,18226
UT,UTAH,12,2020,M122020,15-24,F,143,11,1,7,5490
VA,VIRGINIA,12,2020,M122020,15-24,F,182,22,7,3,17849
VT,VERMONT,12,2020,M122020,15-24,F,23,1,1,1,1135
WA,WASHINGTON,12,2020,M122020,15-24,F,162,24,6,3,12640
WI,WISCONSIN,12,2020,M122020,15-24,F,154,12,5,1,12462
WV,WEST VIRGINIA,12,2020,M122020,15-24,F,29,8,3,2,4760
AK,ALASKA,1,2021,M12021,15-24,F,28,3,.,1,1550
AL,ALABAMA,1,2021,M12021,15-24,F,86,10,5,2,13138
AR,ARKANSAS,1,2021,M12021,15-24,F,36,1,.,1,5056
AZ,ARIZONA,1,2021,M12021,15-24,F,182,41,3,8,13289
CO,COLORADO,1,2021,M12021,15-24,F,120,19,1,3,9059
CT,CONNECTICUT,1,2021,M12021,15-24,F,77,14,6,3,6830
DC,DISTRICT OF COLUMBIA,1,2021,M12021,15-24,F,30,6,.,5,1881
DE,DELAWARE,1,2021,M12021,15-24,F,19,7,6,.,2677
FL,FLORIDA,1,2021,M12021,15-24,F,656,70,15,51,59317
GA,GEORGIA,1,2021,M12021,15-24,F,176,14,1,3,25253
ID,IDAHO,1,2021,M12021,15-24,F,67,6,2,1,3694
IL,ILLINOIS,1,2021,M12021,15-24,F,261,19,9,12,24261
IN,INDIANA,1,2021,M12021,15-24,F,221,24,6,8,15825
KS,KANSAS,1,2021,M12021,15-24,F,102,9,1,2,6243
KY,KENTUCKY,1,2021,M12021,15-24,F,100,20,9,7,10407
LA,LOUISIANA,1,2021,M12021,15-24,F,76,11,7,.,15891
MA,MASSACHUSETTS,1,2021,M12021,15-24,F,125,19,3,3,12684
MD,MARYLAND,1,2021,M12021,15-24,F,145,16,8,5,9604
ME,MAINE,1,2021,M12021,15-24,F,22,1,1,1,2618
MI,MICHIGAN,1,2021,M12021,15-24,F,241,18,13,9,22149
MO,MISSOURI,1,2021,M12021,15-24,F,118,4,2,.,13547
MS,MISSISSIPPI,1,2021,M12021,15-24,F,33,2,1,.,7480
MT,MONTANA,1,2021,M12021,15-24,F,24,4,1,1,2017
NC,NORTH CAROLINA,1,2021,M12021,15-24,F,241,31,8,4,25152
NH,NEW HAMPSHIRE,1,2021,M12021,15-24,F,23,2,1,1,3568
NJ,NEW JERSEY,1,2021,M12021,15-24,F,113,13,7,.,16209
NM,NEW MEXICO,1,2021,M12021,15-24,F,44,10,.,1,4950
NV,NEVADA,1,2021,M12021,15-24,F,72,8,2,2,6308
NY,NEW YORK,1,2021,M12021,15-24,F,318,25,8,6,35422
OR,OREGON,1,2021,M12021,15-24,F,154,13,1,1,7199
PA,PENNSYLVANIA,1,2021,M12021,15-24,F,238,13,5,3,24248
RI,RHODE ISLAND,1,2021,M12021,15-24,F,16,1,.,.,2491
SC,SOUTH CAROLINA,1,2021,M12021,15-24,F,71,15,5,.,9242
SD,SOUTH DAKOTA,1,2021,M12021,15-24,F,31,.,.,1,1556
TN,TENNESSEE,1,2021,M12021,15-24,F,216,35,11,7,19445
UT,UTAH,1,2021,M12021,15-24,F,141,8,.,6,5916
VA,VIRGINIA,1,2021,M12021,15-24,F,185,16,9,3,18300
VT,VERMONT,1,2021,M12021,15-24,F,9,2,.,1,1109
WA,WASHINGTON,1,2021,M12021,15-24,F,207,24,8,5,13429
WI,WISCONSIN,1,2021,M12021,15-24,F,138,13,4,1,12961
WV,WEST VIRGINIA,1,2021,M12021,15-24,F,44,9,6,2,5081
AK,ALASKA,2,2021,M22021,15-24,F,31,3,1,1,1745
AL,ALABAMA,2,2021,M22021,15-24,F,110,9,5,2,11882
AR,ARKANSAS,2,2021,M22021,15-24,F,48,.,.,.,4237
AZ,ARIZONA,2,2021,M22021,15-24,F,164,25,.,6,11866
CO,COLORADO,2,2021,M22021,15-24,F,114,16,1,5,8573
CT,CONNECTICUT,2,2021,M22021,15-24,F,84,9,1,4,6107
DC,DISTRICT OF COLUMBIA,2,2021,M22021,15-24,F,31,7,.,.,1786
DE,DELAWARE,2,2021,M22021,15-24,F,28,2,1,.,2418
FL,FLORIDA,2,2021,M22021,15-24,F,651,86,25,42,54651
GA,GEORGIA,2,2021,M22021,15-24,F,184,14,6,3,22169
ID,IDAHO,2,2021,M22021,15-24,F,73,4,.,1,3193
IL,ILLINOIS,2,2021,M22021,15-24,F,242,17,5,5,21500
IN,INDIANA,2,2021,M22021,15-24,F,223,18,2,13,13703
KS,KANSAS,2,2021,M22021,15-24,F,100,6,2,3,5274
KY,KENTUCKY,2,2021,M22021,15-24,F,79,19,7,3,9177
LA,LOUISIANA,2,2021,M22021,15-24,F,72,9,6,1,12948
MA,MASSACHUSETTS,2,2021,M22021,15-24,F,139,15,3,2,11436
MD,MARYLAND,2,2021,M22021,15-24,F,123,17,4,4,8517
ME,MAINE,2,2021,M22021,15-24,F,18,2,.,1,2264
MI,MICHIGAN,2,2021,M22021,15-24,F,234,13,6,6,20105
MO,MISSOURI,2,2021,M22021,15-24,F,90,6,.,.,11196
MS,MISSISSIPPI,2,2021,M22021,15-24,F,36,2,1,1,6643
MT,MONTANA,2,2021,M22021,15-24,F,31,.,.,2,1735
NC,NORTH CAROLINA,2,2021,M22021,15-24,F,248,31,12,6,22312
NH,NEW HAMPSHIRE,2,2021,M22021,15-24,F,19,1,.,.,3051
NJ,NEW JERSEY,2,2021,M22021,15-24,F,118,10,1,2,13512
NM,NEW MEXICO,2,2021,M22021,15-24,F,58,5,.,2,4633
NV,NEVADA,2,2021,M22021,15-24,F,54,10,2,3,5802
NY,NEW YORK,2,2021,M22021,15-24,F,273,21,5,2,31242
OR,OREGON,2,2021,M22021,15-24,F,113,11,3,8,6452
PA,PENNSYLVANIA,2,2021,M22021,15-24,F,254,19,9,2,21563
RI,RHODE ISLAND,2,2021,M22021,15-24,F,22,4,.,.,2254
SC,SOUTH CAROLINA,2,2021,M22021,15-24,F,85,8,2,1,8633
SD,SOUTH DAKOTA,2,2021,M22021,15-24,F,48,2,.,.,1510
TN,TENNESSEE,2,2021,M22021,15-24,F,216,46,17,5,17156
UT,UTAH,2,2021,M22021,15-24,F,140,7,1,8,5506
VA,VIRGINIA,2,2021,M22021,15-24,F,212,15,6,.,16450
VT,VERMONT,2,2021,M22021,15-24,F,13,.,.,.,1040
WA,WASHINGTON,2,2021,M22021,15-24,F,193,20,2,6,12080
WI,WISCONSIN,2,2021,M22021,15-24,F,155,9,4,.,12005
WV,WEST VIRGINIA,2,2021,M22021,15-24,F,55,9,2,.,4748
AK,ALASKA,3,2021,M32021,15-24,F,38,3,2,3,1677
AL,ALABAMA,3,2021,M32021,15-24,F,110,15,7,2,13524
AR,ARKANSAS,3,2021,M32021,15-24,F,44,4,1,1,4483
AZ,ARIZONA,3,2021,M32021,15-24,F,224,37,3,9,13834
CO,COLORADO,3,2021,M32021,15-24,F,124,20,2,1,9706
CT,CONNECTICUT,3,2021,M32021,15-24,F,73,9,3,2,7420
DC,DISTRICT OF COLUMBIA,3,2021,M32021,15-24,F,34,2,.,1,1969
DE,DELAWARE,3,2021,M32021,15-24,F,30,3,1,.,2840
FL,FLORIDA,3,2021,M32021,15-24,F,795,102,25,56,62479
GA,GEORGIA,3,2021,M32021,15-24,F,189,20,9,3,25330
ID,IDAHO,3,2021,M32021,15-24,F,57,3,1,3,3600
IL,ILLINOIS,3,2021,M32021,15-24,F,277,20,7,8,25901
IN,INDIANA,3,2021,M32021,15-24,F,293,38,12,13,16904
KS,KANSAS,3,2021,M32021,15-24,F,114,11,.,5,6657
LA,LOUISIANA,3,2021,M32021,15-24,F,104,12,1,7,15595
MA,MASSACHUSETTS,3,2021,M32021,15-24,F,159,21,5,5,13535
MD,MARYLAND,3,2021,M32021,15-24,F,152,21,4,3,9898
ME,MAINE,3,2021,M32021,15-24,F,24,4,1,1,2624
MI,MICHIGAN,3,2021,M32021,15-24,F,259,21,8,7,25157
MO,MISSOURI,3,2021,M32021,15-24,F,103,7,3,.,14045
MS,MISSISSIPPI,3,2021,M32021,15-24,F,47,4,2,.,7815
MT,MONTANA,3,2021,M32021,15-24,F,33,7,1,.,2055
NC,NORTH CAROLINA,3,2021,M32021,15-24,F,295,43,13,2,26262
NH,NEW HAMPSHIRE,3,2021,M32021,15-24,F,21,4,.,3,3399
NJ,NEW JERSEY,3,2021,M32021,15-24,F,135,9,4,3,16168
NM,NEW MEXICO,3,2021,M32021,15-24,F,69,15,.,.,5078
NV,NEVADA,3,2021,M32021,15-24,F,64,5,1,4,6682
NY,NEW YORK,3,2021,M32021,15-24,F,329,22,8,8,36583
OR,OREGON,3,2021,M32021,15-24,F,127,15,4,2,7336
PA,PENNSYLVANIA,3,2021,M32021,15-24,F,277,21,9,4,26393
RI,RHODE ISLAND,3,2021,M32021,15-24,F,26,10,.,.,2848
SC,SOUTH CAROLINA,3,2021,M32021,15-24,F,97,17,5,2,10497
SD,SOUTH DAKOTA,3,2021,M32021,15-24,F,44,2,.,1,1778
TN,TENNESSEE,3,2021,M32021,15-24,F,239,44,12,3,19952
UT,UTAH,3,2021,M32021,15-24,F,182,9,2,6,6232
VA,VIRGINIA,3,2021,M32021,15-24,F,216,29,7,4,18698
VT,VERMONT,3,2021,M32021,15-24,F,10,.,.,.,1255
WA,WASHINGTON,3,2021,M32021,15-24,F,222,33,2,3,13974
WI,WISCONSIN,3,2021,M32021,15-24,F,151,17,3,6,14609
WV,WEST VIRGINIA,3,2021,M32021,15-24,F,48,14,6,.,5959
AK,ALASKA,4,2021,M42021,15-24,F,28,5,4,2,1654
AL,ALABAMA,4,2021,M42021,15-24,F,114,9,3,5,14647
AR,ARKANSAS,4,2021,M42021,15-24,F,41,2,.,2,5390
AZ,ARIZONA,4,2021,M42021,15-24,F,260,53,1,7,15808
CO,COLORADO,4,2021,M42021,15-24,F,134,20,2,1,10591
CT,CONNECTICUT,4,2021,M42021,15-24,F,72,8,4,2,8704
DC,DISTRICT OF COLUMBIA,4,2021,M42021,15-24,F,36,4,.,.,2189
DE,DELAWARE,4,2021,M42021,15-24,F,26,3,1,.,3006
FL,FLORIDA,4,2021,M42021,15-24,F,814,78,17,57,64762
GA,GEORGIA,4,2021,M42021,15-24,F,211,10,5,6,26148
ID,IDAHO,4,2021,M42021,15-24,F,60,1,.,1,3809
IL,ILLINOIS,4,2021,M42021,15-24,F,310,26,11,8,28709
IN,INDIANA,4,2021,M42021,15-24,F,259,27,9,15,18676
KS,KANSAS,4,2021,M42021,15-24,F,128,6,.,1,7106
LA,LOUISIANA,4,2021,M42021,15-24,F,92,13,4,2,16158
MA,MASSACHUSETTS,4,2021,M42021,15-24,F,163,19,7,6,14522
MD,MARYLAND,4,2021,M42021,15-24,F,130,24,7,1,11415
ME,MAINE,4,2021,M42021,15-24,F,22,3,2,1,2711
MI,MICHIGAN,4,2021,M42021,15-24,F,268,18,7,9,26453
MO,MISSOURI,4,2021,M42021,15-24,F,124,3,.,.,15261
MS,MISSISSIPPI,4,2021,M42021,15-24,F,53,4,1,2,8663
MT,MONTANA,4,2021,M42021,15-24,F,47,2,.,.,2205
NC,NORTH CAROLINA,4,2021,M42021,15-24,F,315,46,11,2,29283
NH,NEW HAMPSHIRE,4,2021,M42021,15-24,F,17,2,.,.,3725
NJ,NEW JERSEY,4,2021,M42021,15-24,F,131,10,5,.,16956
NM,NEW MEXICO,4,2021,M42021,15-24,F,49,8,3,1,5620
NV,NEVADA,4,2021,M42021,15-24,F,67,4,1,2,7075
NY,NEW YORK,4,2021,M42021,15-24,F,334,18,5,1,37464
OR,OREGON,4,2021,M42021,15-24,F,118,18,3,3,7968
PA,PENNSYLVANIA,4,2021,M42021,15-24,F,311,23,7,3,28479
RI,RHODE ISLAND,4,2021,M42021,15-24,F,26,4,.,.,2926
SC,SOUTH CAROLINA,4,2021,M42021,15-24,F,101,9,2,.,12027
SD,SOUTH DAKOTA,4,2021,M42021,15-24,F,36,2,1,2,1822
TN,TENNESSEE,4,2021,M42021,15-24,F,227,34,13,8,21540
UT,UTAH,4,2021,M42021,15-24,F,145,8,4,7,6366
VA,VIRGINIA,4,2021,M42021,15-24,F,249,28,9,7,19998
VT,VERMONT,4,2021,M42021,15-24,F,13,1,.,.,1265
WA,WASHINGTON,4,2021,M42021,15-24,F,208,29,3,5,14969
WI,WISCONSIN,4,2021,M42021,15-24,F,171,20,9,3,16142
WV,WEST VIRGINIA,4,2021,M42021,15-24,F,51,10,3,3,6507
AK,ALASKA,5,2021,M52021,15-24,F,25,4,2,1,1814
AL,ALABAMA,5,2021,M52021,15-24,F,117,13,6,1,14591
AR,ARKANSAS,5,2021,M52021,15-24,F,50,3,.,.,5247
AZ,ARIZONA,5,2021,M52021,15-24,F,263,60,1,14,16166
CO,COLORADO,5,2021,M52021,15-24,F,131,23,1,1,11001
CT,CONNECTICUT,5,2021,M52021,15-24,F,86,9,2,.,9583
DC,DISTRICT OF COLUMBIA,5,2021,M52021,15-24,F,31,5,.,2,2255
DE,DELAWARE,5,2021,M52021,15-24,F,31,9,1,.,3168
FL,FLORIDA,5,2021,M52021,15-24,F,821,99,19,72,65894
GA,GEORGIA,5,2021,M52021,15-24,F,189,14,4,5,27198
ID,IDAHO,5,2021,M52021,15-24,F,68,8,1,5,3930
IL,ILLINOIS,5,2021,M52021,15-24,F,278,27,13,7,29767
IN,INDIANA,5,2021,M52021,15-24,F,284,28,13,14,19104
KS,KANSAS,5,2021,M52021,15-24,F,163,15,.,2,7500
LA,LOUISIANA,5,2021,M52021,15-24,F,99,10,3,.,16952
MA,MASSACHUSETTS,5,2021,M52021,15-24,F,186,24,5,1,15449
MD,MARYLAND,5,2021,M52021,15-24,F,165,21,5,2,11908
ME,MAINE,5,2021,M52021,15-24,F,36,1,.,.,2918
MI,MICHIGAN,5,2021,M52021,15-24,F,281,30,13,11,26180
MO,MISSOURI,5,2021,M52021,15-24,F,106,4,.,.,15288
MS,MISSISSIPPI,5,2021,M52021,15-24,F,39,4,1,2,8765
MT,MONTANA,5,2021,M52021,15-24,F,33,3,.,1,2302
NH,NEW HAMPSHIRE,5,2021,M52021,15-24,F,31,3,.,.,3967
NJ,NEW JERSEY,5,2021,M52021,15-24,F,167,17,7,1,18393
NM,NEW MEXICO,5,2021,M52021,15-24,F,74,19,1,.,5812
NV,NEVADA,5,2021,M52021,15-24,F,100,17,.,7,7593
NY,NEW YORK,5,2021,M52021,15-24,F,377,23,2,11,39057
OR,OREGON,5,2021,M52021,15-24,F,119,13,3,1,8603
PA,PENNSYLVANIA,5,2021,M52021,15-24,F,288,34,15,1,28815
RI,RHODE ISLAND,5,2021,M52021,15-24,F,32,6,.,.,3098
SC,SOUTH CAROLINA,5,2021,M52021,15-24,F,89,12,2,1,12279
SD,SOUTH DAKOTA,5,2021,M52021,15-24,F,25,.,.,.,1316
TN,TENNESSEE,5,2021,M52021,15-24,F,224,39,12,8,22085
UT,UTAH,5,2021,M52021,15-24,F,175,9,3,9,6795
VA,VIRGINIA,5,2021,M52021,15-24,F,268,21,4,4,20927
VT,VERMONT,5,2021,M52021,15-24,F,15,1,.,.,1273
WA,WASHINGTON,5,2021,M52021,15-24,F,251,31,4,10,16170
WI,WISCONSIN,5,2021,M52021,15-24,F,178,8,2,2,16531
WV,WEST VIRGINIA,5,2021,M52021,15-24,F,63,13,5,6,6570
AK,ALASKA,6,2021,M62021,15-24,F,40,8,4,3,1886
AL,ALABAMA,6,2021,M62021,15-24,F,86,13,4,3,13580
AR,ARKANSAS,6,2021,M62021,15-24,F,36,3,1,.,5371
AZ,ARIZONA,6,2021,M62021,15-24,F,195,38,1,6,15818
CO,COLORADO,6,2021,M62021,15-24,F,116,26,2,1,10990
CT,CONNECTICUT,6,2021,M62021,15-24,F,72,12,6,3,9507
DC,DISTRICT OF COLUMBIA,6,2021,M62021,15-24,F,37,1,.,1,2336
DE,DELAWARE,6,2021,M62021,15-24,F,25,4,1,1,3404
FL,FLORIDA,6,2021,M62021,15-24,F,714,67,12,60,64346
GA,GEORGIA,6,2021,M62021,15-24,F,157,13,4,1,25756
ID,IDAHO,6,2021,M62021,15-24,F,72,6,1,3,3960
IL,ILLINOIS,6,2021,M62021,15-24,F,240,19,12,8,29197
IN,INDIANA,6,2021,M62021,15-24,F,235,33,18,12,18357
KS,KANSAS,6,2021,M62021,15-24,F,112,6,3,1,7653
LA,LOUISIANA,6,2021,M62021,15-24,F,88,14,5,3,16675
MA,MASSACHUSETTS,6,2021,M62021,15-24,F,146,23,3,3,16708
MD,MARYLAND,6,2021,M62021,15-24,F,158,27,9,1,11806
ME,MAINE,6,2021,M62021,15-24,F,21,3,.,.,3237
MI,MICHIGAN,6,2021,M62021,15-24,F,283,22,7,4,26856
MO,MISSOURI,6,2021,M62021,15-24,F,85,8,2,.,15343
MS,MISSISSIPPI,6,2021,M62021,15-24,F,46,1,.,.,9139
MT,MONTANA,6,2021,M62021,15-24,F,38,5,1,1,2293
NH,NEW HAMPSHIRE,6,2021,M62021,15-24,F,28,7,2,1,4470
NJ,NEW JERSEY,6,2021,M62021,15-24,F,117,8,4,.,19737
NM,NEW MEXICO,6,2021,M62021,15-24,F,55,9,.,2,5928
NV,NEVADA,6,2021,M62021,15-24,F,66,8,.,.,7740
NY,NEW YORK,6,2021,M62021,15-24,F,342,25,8,4,40779
OR,OREGON,6,2021,M62021,15-24,F,133,13,2,2,8453
PA,PENNSYLVANIA,6,2021,M62021,15-24,F,234,24,6,5,28492
RI,RHODE ISLAND,6,2021,M62021,15-24,F,28,6,1,1,3095
SC,SOUTH CAROLINA,6,2021,M62021,15-24,F,99,17,3,8,11903
SD,SOUTH DAKOTA,6,2021,M62021,15-24,F,41,.,.,1,1918
TN,TENNESSEE,6,2021,M62021,15-24,F,202,34,10,6,21447
UT,UTAH,6,2021,M62021,15-24,F,159,13,3,6,6750
VA,VIRGINIA,6,2021,M62021,15-24,F,223,23,4,2,20690
VT,VERMONT,6,2021,M62021,15-24,F,11,.,.,.,1392
WA,WASHINGTON,6,2021,M62021,15-24,F,225,26,2,4,16520
WI,WISCONSIN,6,2021,M62021,15-24,F,148,17,5,1,15867
WV,WEST VIRGINIA,6,2021,M62021,15-24,F,41,4,1,1,6270
AK,ALASKA,1,2018,M12018,25-34,F,14,3,1,2,2381
AL,ALABAMA,1,2018,M12018,25-34,F,95,19,7,5,21853
AR,ARKANSAS,1,2018,M12018,25-34,F,37,4,3,2,8348
AZ,ARIZONA,1,2018,M12018,25-34,F,76,21,6,6,10790
CO,COLORADO,1,2018,M12018,25-34,F,50,11,5,2,7194
CT,CONNECTICUT,1,2018,M12018,25-34,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,1,2018,M12018,25-34,F,21,1,1,.,3593
FL,FLORIDA,1,2018,M12018,25-34,F,592,162,112,64,89746
GA,GEORGIA,1,2018,M12018,25-34,F,158,31,17,5,42488
IL,ILLINOIS,1,2018,M12018,25-34,F,257,78,46,15,42610
IN,INDIANA,1,2018,M12018,25-34,F,206,52,44,20,23821
KS,KANSAS,1,2018,M12018,25-34,F,45,6,2,2,8323
KY,KENTUCKY,1,2018,M12018,25-34,F,114,51,39,3,17628
LA,LOUISIANA,1,2018,M12018,25-34,F,45,10,7,1,15958
MA,MASSACHUSETTS,1,2018,M12018,25-34,F,228,94,48,4,20900
MD,MARYLAND,1,2018,M12018,25-34,F,169,61,28,7,19470
ME,MAINE,1,2018,M12018,25-34,F,28,12,6,2,3805
MI,MICHIGAN,1,2018,M12018,25-34,F,150,44,33,9,34525
MO,MISSOURI,1,2018,M12018,25-34,F,104,11,4,3,21936
MT,MONTANA,1,2018,M12018,25-34,F,16,2,.,1,2643
NC,NORTH CAROLINA,1,2018,M12018,25-34,F,283,104,62,15,44152
NH,NEW HAMPSHIRE,1,2018,M12018,25-34,F,39,13,8,.,4456
NJ,NEW JERSEY,1,2018,M12018,25-34,F,201,49,32,1,29955
NM,NEW MEXICO,1,2018,M12018,25-34,F,47,15,5,.,7014
NV,NEVADA,1,2018,M12018,25-34,F,51,17,6,6,8643
NY,NEW YORK,1,2018,M12018,25-34,F,230,23,13,3,59539
OH,OHIO,1,2018,M12018,25-34,F,357,118,79,7,53924
OR,OREGON,1,2018,M12018,25-34,F,81,17,3,5,11310
PA,PENNSYLVANIA,1,2018,M12018,25-34,F,258,70,53,4,32922
SD,SOUTH DAKOTA,1,2018,M12018,25-34,F,16,.,.,.,2122
TN,TENNESSEE,1,2018,M12018,25-34,F,132,52,33,11,21167
UT,UTAH,1,2018,M12018,25-34,F,44,10,5,3,4647
VA,VIRGINIA,1,2018,M12018,25-34,F,155,25,14,16,28868
VT,VERMONT,1,2018,M12018,25-34,F,11,4,2,.,1568
WA,WASHINGTON,1,2018,M12018,25-34,F,91,22,9,4,11304
WI,WISCONSIN,1,2018,M12018,25-34,F,90,22,11,2,19235
AK,ALASKA,2,2018,M22018,25-34,F,16,5,4,1,2164
AL,ALABAMA,2,2018,M22018,25-34,F,86,28,10,7,18290
AR,ARKANSAS,2,2018,M22018,25-34,F,43,3,2,3,7363
AZ,ARIZONA,2,2018,M22018,25-34,F,85,37,11,10,9098
CO,COLORADO,2,2018,M22018,25-34,F,36,10,2,1,7161
CT,CONNECTICUT,2,2018,M22018,25-34,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,2,2018,M22018,25-34,F,15,.,.,1,3237
FL,FLORIDA,2,2018,M22018,25-34,F,506,140,87,65,79327
GA,GEORGIA,2,2018,M22018,25-34,F,142,18,6,7,37113
IL,ILLINOIS,2,2018,M22018,25-34,F,218,65,45,9,35228
IN,INDIANA,2,2018,M22018,25-34,F,169,46,29,21,20265
KS,KANSAS,2,2018,M22018,25-34,F,42,7,3,3,7141
KY,KENTUCKY,2,2018,M22018,25-34,F,132,71,54,3,14942
LA,LOUISIANA,2,2018,M22018,25-34,F,36,11,7,3,15007
MA,MASSACHUSETTS,2,2018,M22018,25-34,F,241,99,52,4,19489
MD,MARYLAND,2,2018,M22018,25-34,F,180,64,26,6,16769
ME,MAINE,2,2018,M22018,25-34,F,29,8,2,.,3516
MI,MICHIGAN,2,2018,M22018,25-34,F,152,42,29,3,32025
MO,MISSOURI,2,2018,M22018,25-34,F,70,2,2,2,19128
MT,MONTANA,2,2018,M22018,25-34,F,17,2,1,.,2090
NC,NORTH CAROLINA,2,2018,M22018,25-34,F,230,90,53,14,38295
NH,NEW HAMPSHIRE,2,2018,M22018,25-34,F,36,23,13,3,4150
NJ,NEW JERSEY,2,2018,M22018,25-34,F,180,52,43,1,28055
NM,NEW MEXICO,2,2018,M22018,25-34,F,41,8,4,3,5740
NV,NEVADA,2,2018,M22018,25-34,F,45,16,8,4,8100
NY,NEW YORK,2,2018,M22018,25-34,F,228,30,16,5,55409
OH,OHIO,2,2018,M22018,25-34,F,371,147,87,5,46619
OR,OREGON,2,2018,M22018,25-34,F,88,17,7,3,9779
PA,PENNSYLVANIA,2,2018,M22018,25-34,F,214,64,48,1,29394
SD,SOUTH DAKOTA,2,2018,M22018,25-34,F,25,1,.,.,1873
TN,TENNESSEE,2,2018,M22018,25-34,F,137,55,29,12,18821
UT,UTAH,2,2018,M22018,25-34,F,58,17,8,3,4872
VA,VIRGINIA,2,2018,M22018,25-34,F,150,32,19,7,26268
VT,VERMONT,2,2018,M22018,25-34,F,16,7,5,2,1429
WA,WASHINGTON,2,2018,M22018,25-34,F,64,26,9,6,9479
WI,WISCONSIN,2,2018,M22018,25-34,F,72,23,13,1,16490
AK,ALASKA,3,2018,M32018,25-34,F,16,6,2,1,2592
