key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
MO|2018|9|all|all:MO|2019|9|all|all,14.26,57.86,2.94,-0.59,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,No Significant Change,No Significant Change,MO,US-MO,2018,9,2019,9,all,all
MO|2019|1|all|all:MO|2019|2|all|all,-7.47,-23.1,-20.53,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,MO,US-MO,2019,1,2019,2,all,all
MO|2019|1|all|all:MO|2020|1|all|all,0.26,-36.76,suppressed,suppressed,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Decrease,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,1,2020,1,all,all
MO|2019|10|all|all:MO|2019|11|all|all,0.05,-3.53,29.86,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,MO,US-MO,2019,10,2019,11,all,all
MO|2019|10|all|all:MO|2020|10|all|all,12.96,28.57,-16.5,35.54,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2019,10,2020,10,all,all
MO|2019|11|all|all:MO|2019|12|all|all,-3.42,-10.34,-36.9,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,MO,US-MO,2019,11,2019,12,all,all
MO|2019|11|all|all:MO|2020|11|all|all,3.06,42.07,-34.17,suppressed,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Increase,No Significant Change,Data Not Available/Not Reported,MO,US-MO,2019,11,2020,11,all,all
MO|2019|12|all|all:MO|2020|1|all|all,-5.33,-9.94,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,12,2020,1,all,all
MO|2019|12|all|all:MO|2020|12|all|all,8.68,52.03,suppressed,45.66,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Increase,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2019,12,2020,12,all,all
MO|2019|2|all|all:MO|2019|3|all|all,-6.78,-15.55,-33.33,-22.26,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2019,2,2019,3,all,all
MO|2019|2|all|all:MO|2020|2|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,2,2020,2,all,all
MO|2019|3|all|all:MO|2019|4|all|all,-0.62,-20.7,4.79,73.13,FALSE,FALSE,FALSE,TRUE,No Significant Change,No Significant Change,No Significant Change,Significant Increase,MO,US-MO,2019,3,2019,4,all,all
MO|2019|3|all|all:MO|2020|3|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,3,2020,3,all,all
MO|2019|4|all|all:MO|2019|5|all|all,15.07,37.84,24.36,-30.58,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2019,4,2019,5,all,all
MO|2019|4|all|all:MO|2020|4|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,4,2020,4,all,all
MO|2019|5|all|all:MO|2019|6|all|all,3.33,3.69,-9.98,32.25,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2019,5,2019,6,all,all
