key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,jurisdiction,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
US|2018|4|all|25-34:US|2018|5|all|25-34,5.49,8.97,11.6,7.47,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,4,2018,5,all,25-34
US|2018|4|all|35-54:US|2018|5|all|35-54,5.04,3.3,5.92,7.58,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,4,2018,5,all,35-54
US|2018|4|all|55+:US|2018|5|all|55+,5.47,10.14,28.06,-1.65,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,4,2018,5,all,55
US|2018|4|all|Missing:US|2018|5|all|Missing,7.83,50.85,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,4,2018,5,all,Missing
US|2018|5|all|0-14:US|2018|6|all|0-14,-0.39,6.43,suppressed,10.69,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,5,2018,6,all,0-14
US|2018|5|all|15-24:US|2018|6|all|15-24,-4.4,4.39,-0.01,1.68,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,5,2018,6,all,15-24
US|2018|5|all|25-34:US|2018|6|all|25-34,1.82,2.05,0.07,-5.08,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,5,2018,6,all,25-34
US|2018|5|all|35-54:US|2018|6|all|35-54,4.28,9.04,8.81,6.4,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,5,2018,6,all,35-54
US|2018|5|all|55+:US|2018|6|all|55+,2.31,-1.11,1.61,9.45,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,5,2018,6,all,55
US|2018|5|all|Missing:US|2018|6|all|Missing,-51.14,-50.54,-49.57,suppressed,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,Data Not Available/Not Reported,US,US-US,2018,5,2018,6,all,Missing
US|2018|6|all|0-14:US|2018|7|all|0-14,12.64,16.21,suppressed,4.09,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,6,2018,7,all,0-14
US|2018|6|all|15-24:US|2018|7|all|15-24,-0.84,-6.07,-6.13,3.95,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,6,2018,7,all,15-24
US|2018|6|all|25-34:US|2018|7|all|25-34,0.07,-2.12,-3.92,5.35,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,6,2018,7,all,25-34
US|2018|6|all|35-54:US|2018|7|all|35-54,-1.14,-4.79,-5.67,-6.62,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Decrease,Significant Decrease,No Significant Change,US,US-US,2018,6,2018,7,all,35-54
US|2018|6|all|55+:US|2018|7|all|55+,-0.22,-1.61,-2.96,4.08,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,6,2018,7,all,55
US|2018|6|all|Missing:US|2018|7|all|Missing,3.3,-10.66,12.54,15.54,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,6,2018,7,all,Missing
US|2018|7|all|0-14:US|2018|8|all|0-14,-2.16,-4.26,suppressed,-19.15,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,7,2018,8,all,0-14
US|2018|7|all|15-24:US|2018|8|all|15-24,4.14,-1.09,-6.23,-0.83,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,7,2018,8,all,15-24
US|2018|7|all|25-34:US|2018|8|all|25-34,1.29,4.26,5.3,1.5,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Increase,No Significant Change,No Significant Change,US,US-US,2018,7,2018,8,all,25-34
US|2018|7|all|35-54:US|2018|8|all|35-54,2.62,6.39,8.04,10.65,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,US,US-US,2018,7,2018,8,all,35-54
US|2018|7|all|55+:US|2018|8|all|55+,4.76,6.38,12.97,14.47,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,US,US-US,2018,7,2018,8,all,55
US|2018|7|all|Missing:US|2018|8|all|Missing,69.2,33.38,33.74,suppressed,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,No Significant Change,Data Not Available/Not Reported,US,US-US,2018,7,2018,8,all,Missing
US|2018|8|all|0-14:US|2018|9|all|0-14,-12.46,-8.0,suppressed,-4.48,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,8,2018,9,all,0-14
US|2018|8|all|15-24:US|2018|9|all|15-24,1.45,-2.33,-0.44,-0.18,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,8,2018,9,all,15-24
US|2018|8|all|25-34:US|2018|9|all|25-34,-3.93,-7.97,-10.82,-10.18,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,US,US-US,2018,8,2018,9,all,25-34
US|2018|8|all|35-54:US|2018|9|all|35-54,-3.55,-5.47,-6.97,-8.97,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,US,US-US,2018,8,2018,9,all,35-54
US|2018|8|all|55+:US|2018|9|all|55+,-4.41,-3.32,-5.23,-14.77,TRUE,FALSE,FALSE,TRUE,Significant Decrease,No Significant Change,No Significant Change,Significant Decrease,US,US-US,2018,8,2018,9,all,55
US|2018|8|all|Missing:US|2018|9|all|Missing,-22.57,-25.46,-8.69,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,No Significant Change,Data Not Available/Not Reported,US,US-US,2018,8,2018,9,all,Missing
US|2018|9|all|0-14:US|2018|10|all|0-14,1.89,5.92,suppressed,-0.06,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,9,2018,10,all,0-14
US|2018|9|all|15-24:US|2018|10|all|15-24,-0.74,-6.54,-12.29,-9.86,FALSE,FALSE,TRUE,FALSE,No Significant Change,No Significant Change,Significant Decrease,No Significant Change,US,US-US,2018,9,2018,10,all,15-24
US|2018|9|all|25-34:US|2018|10|all|25-34,-4.59,-0.8,-0.94,-12.74,TRUE,FALSE,FALSE,TRUE,Significant Decrease,No Significant Change,No Significant Change,Significant Decrease,US,US-US,2018,9,2018,10,all,25-34
US|2018|9|all|35-54:US|2018|10|all|35-54,-0.52,1.73,-0.6,-7.5,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,9,2018,10,all,35-54
US|2018|9|all|55+:US|2018|10|all|55+,-2.13,-0.6,-7.0,3.05,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,9,2018,10,all,55
US|2018|9|all|Missing:US|2018|10|all|Missing,40.49,61.56,suppressed,suppressed,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,9,2018,10,all,Missing
US|2018|10|all|0-14:US|2018|11|all|0-14,4.76,-14.37,suppressed,35.79,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,10,2018,11,all,0-14
US|2018|10|all|15-24:US|2018|11|all|15-24,2.06,0.16,0.0,12.04,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,10,2018,11,all,15-24
US|2018|10|all|25-34:US|2018|11|all|25-34,-0.34,-1.19,-1.9,13.44,FALSE,FALSE,FALSE,TRUE,No Significant Change,No Significant Change,No Significant Change,Significant Increase,US,US-US,2018,10,2018,11,all,25-34
US|2018|10|all|35-54:US|2018|11|all|35-54,-1.99,-0.64,-6.95,3.06,FALSE,FALSE,TRUE,FALSE,No Significant Change,No Significant Change,Significant Decrease,No Significant Change,US,US-US,2018,10,2018,11,all,35-54
US|2018|10|all|55+:US|2018|11|all|55+,0.24,0.0,-7.07,-18.42,FALSE,FALSE,FALSE,TRUE,No Significant Change,No Significant Change,No Significant Change,Significant Decrease,US,US-US,2018,10,2018,11,all,55
US|2018|10|all|Missing:US|2018|11|all|Missing,51.72,-0.41,suppressed,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,10,2018,11,all,Missing
US|2018|11|all|0-14:US|2018|12|all|0-14,-18.36,-17.13,suppressed,-25.41,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,11,2018,12,all,0-14
US|2018|11|all|15-24:US|2018|12|all|15-24,-9.85,-6.62,-3.96,-15.66,TRUE,FALSE,FALSE,TRUE,Significant Decrease,No Significant Change,No Significant Change,Significant Decrease,US,US-US,2018,11,2018,12,all,15-24
US|2018|11|all|25-34:US|2018|12|all|25-34,-3.25,-3.15,-4.52,-2.68,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,11,2018,12,all,25-34
US|2018|11|all|35-54:US|2018|12|all|35-54,-4.71,-5.37,-1.5,-0.31,TRUE,TRUE,FALSE,FALSE,Significant Decrease,Significant Decrease,No Significant Change,No Significant Change,US,US-US,2018,11,2018,12,all,35-54
US|2018|11|all|55+:US|2018|12|all|55+,-4.44,-4.88,-14.7,25.72,TRUE,FALSE,TRUE,TRUE,Significant Decrease,No Significant Change,Significant Decrease,Significant Increase,US,US-US,2018,11,2018,12,all,55
US|2018|11|all|Missing:US|2018|12|all|Missing,-22.72,20.01,suppressed,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,11,2018,12,all,Missing
AK|2018|1|all|all:AK|2018|2|all|all,-1.4,1.98,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,1,2018,2,all,all
AK|2018|2|all|all:AK|2018|3|all|all,17.35,30.42,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,2,2018,3,all,all
AK|2018|3|all|all:AK|2018|4|all|all,12.22,12.9,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,3,2018,4,all,all
AK|2018|4|all|all:AK|2018|5|all|all,-15.43,6.38,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,4,2018,5,all,all
AK|2018|5|all|all:AK|2018|6|all|all,-10.53,-18.55,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,5,2018,6,all,all
AK|2018|6|all|all:AK|2018|7|all|all,16.1,12.31,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,AK,US-AK,2018,6,2018,7,all,all
