geoid,year,month,rate_time,jurisdiction_count,race_ethnicity,drug_rate,drug_pct,opioid_rate,opioid_pct,fentanyl_rate,fentanyl_pct,heroin_rate,heroin_pct,stimulant_rate,stimulant_pct,cocaine_rate,cocaine_pct,methamphetamine_rate,methamphetamine_pct,benzodiazepine_rate,benzodiazepine_pct
US,2024,12,Annual,39,"White, NH",60.9,56.5,17.6,57.8,3,59.7,1.3,47.5,2.8,49,0.9,35.6,1.2,61.2,1.6,69.2
US,2025,1,Annual,40,"AIAN, NH",80.8,1,28.7,1.3,8.6,2.4,0.7,0.3,4.2,1,0.9,0.5,2.5,1.8,0.8,0.5
US,2025,1,Annual,40,"Asian, NH",37.1,1,5.1,0.5,1,0.6,0.2,0.2,1.4,0.8,0.5,0.6,0.5,0.8,0.6,0.8
US,2025,1,Annual,40,"Black, NH",54.9,18.5,17.1,20.5,1.9,14.3,2.5,33.5,3.4,21.9,2.3,32.4,0.6,12,0.5,8.3
US,2025,1,Annual,40,Hispanic,44.8,13.1,10.9,11.3,2,12.7,0.9,9.9,3,16.8,1.6,20.1,0.8,13.4,0.9,12.5
US,2025,1,Annual,40,Missing,61.2,7.3,15,6.3,2.5,6.6,1.3,6.3,3.1,7.2,1.5,7.6,1,6.8,1,6
US,2025,1,Annual,40,"Multiple/Other, NH",61.6,3.2,16.9,3.2,3.1,3.6,1.6,3.4,3.2,3.3,1.3,3,1.2,3.7,1.1,2.9
US,2025,1,Annual,40,"NHOPI, NH",38.9,0.2,10.3,0.2,2.5,0.3,9999,0,2.2,0.2,9999,0.1,1.2,0.3,9999,0.1
US,2025,1,Annual,40,"White, NH",60.1,55.6,17.2,56.7,2.9,59.5,1.3,46.2,2.7,48.9,0.9,35.7,1.2,61.3,1.5,68.9
US,2025,2,Annual,41,"AIAN, NH",84.5,1.1,30.4,1.4,8.6,2.5,0.8,0.4,4.3,1.1,0.9,0.5,2.5,1.9,0.8,0.5
US,2025,2,Annual,41,"Asian, NH",37.1,1,5,0.5,1,0.6,0.2,0.2,1.4,0.8,0.5,0.6,0.5,0.8,0.6,0.8
US,2025,2,Annual,41,"Black, NH",54.8,18.5,17.2,20.7,1.9,14.5,2.5,33.9,3.3,21.8,2.2,32.3,0.6,12,0.5,8.1
US,2025,2,Annual,41,Hispanic,44.5,13,10.8,11.2,2,12.6,0.8,9.9,2.9,16.7,1.6,19.9,0.8,13.2,0.9,12.3
US,2025,2,Annual,41,Missing,60.9,7.2,15.1,6.4,2.5,6.7,1.3,6.3,3.1,7.2,1.5,7.6,1,6.7,1,5.9
US,2025,2,Annual,41,"Multiple/Other, NH",61.8,3.3,17,3.2,3.2,3.7,1.6,3.4,3.1,3.2,1.3,2.9,1.2,3.6,1.2,3
US,2025,2,Annual,41,"NHOPI, NH",38.3,0.2,10.6,0.2,2.7,0.3,9999,0,2,0.2,9999,0.1,1.1,0.3,9999,0.1
US,2025,2,Annual,41,"White, NH",59.3,55.6,16.9,56.4,2.9,59.2,1.2,45.8,2.7,49.1,0.9,36,1.1,61.5,1.5,69.3
US,2025,3,Annual,41,"AIAN, NH",84.2,1.1,29.9,1.4,8.6,2.5,0.7,0.4,4.3,1.1,1,0.6,2.4,1.8,0.7,0.5
US,2025,3,Annual,41,"Asian, NH",36.6,1,4.7,0.5,0.9,0.6,0.2,0.2,1.4,0.8,0.4,0.6,0.5,0.8,0.5,0.7
US,2025,3,Annual,41,"Black, NH",54.3,18.5,17,20.7,1.9,14.7,2.4,34.3,3.2,21.8,2.2,32.4,0.6,12.1,0.5,8.1
US,2025,3,Annual,41,Hispanic,44.2,13,10.7,11.3,1.9,12.5,0.8,10,2.8,16.6,1.5,19.8,0.8,13.2,0.9,12.4
US,2025,3,Annual,41,Missing,61,7.3,15.1,6.4,2.5,6.7,1.3,6.2,3,7.1,1.4,7.5,1,6.7,1,5.9
US,2025,3,Annual,41,"Multiple/Other, NH",61.5,3.3,17.1,3.2,3.2,3.8,1.5,3.4,3,3.2,1.3,3,1.2,3.5,1.2,3
US,2025,3,Annual,41,"NHOPI, NH",38.3,0.2,10.2,0.2,2.7,0.3,9999,0,1.9,0.2,9999,0.1,1.1,0.3,9999,0.1
US,2025,3,Annual,41,"White, NH",58.7,55.6,16.7,56.4,2.8,59,1.2,45.4,2.6,49.2,0.9,36.1,1.1,61.5,1.5,69.2
US,2025,4,Annual,41,"AIAN, NH",83.5,1.1,29.5,1.4,8.7,2.6,0.7,0.4,4.3,1.1,1,0.6,2.4,1.8,0.8,0.5
US,2025,4,Annual,41,"Asian, NH",36,1,4.6,0.5,0.9,0.6,0.2,0.2,1.3,0.8,0.4,0.5,0.4,0.7,0.5,0.7
US,2025,4,Annual,41,"Black, NH",53.9,18.5,16.8,20.6,1.9,14.6,2.4,34.2,3.2,21.8,2.1,32.2,0.6,12.2,0.5,8.3
